AccountNo,Client_num,BankID,AccountType,Balance,Open_date,Close_date,Overdraft_limit
533154,43338205,60581823,Savings,45598.79,2019-11-16,2023-01-01,137.57
495031,45776379,20265646,Savings,15686.38,2020-01-03,,870.16
388296,46532595,79497184,Savings,86100.67,2023-03-12,,903.15
118885,17045388,56863141,Loan,97981.01,2019-07-15,,958.35
218807,62022691,11569464,Savings,11072.4,2020-01-14,,754.02
788364,63592731,12180519,Credit Card,71425.89,2021-02-18,,419.41
106137,87046686,92114008,Credit Card,28452.74,2023-02-26,2023-09-23,96.94
828508,66056523,11569464,Checking,70678.54,2022-11-22,,331.93
94046,93186242,81352293,Savings,8373.54,2022-07-05,,729.5
325896,88427084,12322955,Credit Card,93824.6,2022-11-17,,994.35
464505,15592666,12907760,Savings,63153.37,2020-05-28,,681.38
3474,54541185,64741389,Credit Card,10059.66,2023-05-29,,897.37
351389,97355836,20758115,Checking,20699.98,2020-02-04,,661.25
281509,22879387,87451692,Credit Card,84837.37,2020-11-12,,918.24
963678,41805145,20758115,Checking,9610.96,2022-05-02,,360.93
606363,68275723,92114008,Loan,42662.95,2021-09-10,,671.91
744562,93931068,64452737,Checking,86072.1,2020-11-04,,725.16
700194,22000267,22135191,Loan,80637.24,2023-08-05,2023-10-01,198.47
181913,53390551,72565719,Credit Card,66044.24,2020-11-25,,29.53
521587,87765169,41046679,Savings,20328.97,2019-11-01,,380.23
186963,27077817,22459364,Credit Card,77031.67,2022-09-06,2023-05-27,379.58
300817,73777708,21077921,Savings,53065.26,2022-10-08,2023-07-24,387.86
299986,32089436,22135191,Loan,69117.15,2023-04-13,,525.13
855239,70008087,19918798,Savings,51695.06,2020-04-30,,831.68
564962,48411330,55798973,Loan,8006.82,2021-06-29,,310.29
597719,56069577,22632821,Credit Card,39810.03,2023-07-31,,484.68
455848,47341122,21077921,Savings,76104.26,2020-04-14,,51.23
755651,72557728,55798973,Credit Card,24992.58,2021-07-11,,607.91
509808,69944377,93574729,Savings,9360.93,2024-02-21,,989.61
967732,93241631,59181519,Checking,9878.84,2023-06-16,,483.91
434641,69291830,12180519,Loan,64921.83,2023-10-19,,656.26
278573,76589015,79497184,Credit Card,12472.27,2019-05-22,,680.67
782365,31108194,51710843,Checking,68146.91,2021-05-07,,588.22
248812,24777749,93574729,Credit Card,80006.9,2020-10-09,,843.52
483160,23218697,60581823,Credit Card,5306.38,2022-05-27,,674.24
668329,14843579,67777959,Credit Card,63374.25,2020-06-29,,652.79
639228,15764586,11569464,Loan,47089.35,2022-05-15,2023-11-20,661.47
878630,75604765,84037897,Checking,42630.01,2022-05-26,,14.6
942977,54141249,92114008,Savings,74378.77,2020-01-30,,761.69
52972,66472221,76461901,Loan,61503.56,2023-05-20,,970.85
521543,99992128,46264809,Loan,90843.28,2022-09-08,2023-12-09,356.75
925403,18794475,42672546,Savings,86412.75,2019-09-14,,846.88
389480,70303856,59181519,Savings,90829.17,2023-02-18,,179.17
679149,34571729,90079264,Credit Card,67431.78,2020-12-29,,599.7
795260,37608068,25223326,Loan,65258.81,2020-11-06,,336.45
777082,46135628,64741389,Credit Card,44174.84,2021-06-12,,518.96
538420,36742962,11569464,Checking,50235.45,2023-02-26,,523.15
790505,39532607,76033207,Loan,31996.68,2024-04-21,,9.98
794559,87847401,77441705,Checking,90571.03,2022-04-01,,384.67
746888,24828378,21077921,Savings,95508.38,2022-08-19,,416.48
953114,39467876,12907760,Savings,97455.06,2023-04-18,,921.27
277922,55372074,74290792,Savings,78201.81,2023-03-06,,127.86
739539,80743056,22135191,Checking,4031.31,2020-01-24,,939.35
779356,60571284,46264809,Credit Card,36260.98,2020-10-10,2021-03-18,838.81
625202,11692900,63064216,Checking,46852.49,2021-02-28,2022-06-07,479.62
882342,99361901,12180519,Savings,12252.04,2020-11-19,,652.42
172020,65713263,41046679,Savings,60612.1,2023-01-15,,296.47
888727,42254094,12322955,Checking,42695.0,2021-02-28,,199.76
340314,15595600,58525202,Savings,76202.61,2020-03-09,,875.98
982702,74029199,37753542,Savings,8145.43,2022-06-23,,850.18
278348,15112061,13871080,Credit Card,16871.99,2023-04-14,,785.4
712790,27933277,12322955,Savings,57986.53,2023-09-17,,701.93
420650,63853869,14589305,Credit Card,44650.59,2020-09-28,,617.81
217776,10081581,80287087,Credit Card,99257.44,2020-02-21,,535.35
186154,72112861,41046679,Loan,20874.0,2021-12-12,,495.87
250894,41585859,74290792,Checking,53855.86,2020-07-16,,2.17
667510,13770575,56863141,Credit Card,45126.07,2020-09-04,,178.64
939842,54857439,19918798,Savings,71231.16,2022-04-18,,673.68
908961,19129646,55798973,Loan,12867.74,2021-12-05,,670.84
465948,97119394,76461901,Savings,68193.8,2023-03-06,,211.5
741206,99558176,87451692,Loan,1924.22,2021-10-14,2023-12-02,962.42
214091,74455508,32264006,Savings,80278.18,2021-10-27,,870.13
88063,40491941,97544214,Loan,15198.05,2020-03-28,,659.65
670737,62460372,72565719,Savings,1461.22,2022-06-18,2023-04-26,861.78
318040,96526226,51710843,Loan,64678.96,2020-12-18,,168.37
270679,93905539,21813819,Checking,28063.42,2024-04-01,,715.82
8405,86094748,50736126,Savings,33647.15,2024-02-04,,603.46
291833,35475125,92114008,Loan,34722.05,2019-09-04,2023-05-01,426.0
210154,61009266,29369239,Credit Card,44003.64,2021-06-27,,769.15
614776,57257255,41046679,Credit Card,95722.63,2023-12-10,,437.01
771176,41346980,87451692,Checking,22192.34,2019-08-26,,677.06
94334,97480225,69598209,Loan,75276.15,2020-05-21,,565.13
205208,19711153,25223326,Savings,33870.31,2020-02-26,2021-03-19,34.4
59560,11711158,93574729,Credit Card,76020.04,2022-07-31,,163.51
25923,11560825,39697743,Loan,7568.74,2024-02-06,,612.0
238203,26224375,86893602,Checking,78064.39,2020-08-13,,700.98
40436,21226926,58525202,Savings,72465.47,2020-03-28,,522.37
515434,98326240,56863141,Savings,83783.25,2022-08-21,,901.93
275926,38137786,59181519,Checking,70950.21,2020-01-11,,7.97
604315,18952524,22632821,Savings,82948.9,2022-12-18,,411.17
346947,88483282,11569464,Credit Card,35338.83,2023-08-10,,219.47
903757,83614813,14589305,Checking,14956.94,2022-03-05,2022-03-19,400.0
850739,68127435,74290792,Savings,29657.63,2021-07-24,,437.48
681770,55041041,19918798,Savings,41940.01,2021-10-11,,54.74
550881,66949357,12549576,Savings,4463.31,2021-05-26,,472.42
779220,65091035,76033207,Credit Card,77148.65,2021-08-20,,485.69
832239,21894251,72565719,Checking,63154.82,2020-03-24,,77.41
686779,19418772,21813819,Loan,58693.94,2021-03-27,,990.52
342838,18866526,32264006,Credit Card,5867.45,2019-06-28,,184.52
824288,36980693,77441705,Checking,68506.16,2021-01-22,,496.18
691926,18767135,97544214,Checking,28808.74,2020-02-07,,943.92
108051,17921299,81972872,Loan,91062.06,2022-03-18,2022-04-12,89.8
70544,56984868,80257887,Savings,27790.99,2019-12-28,,736.07
566645,85662512,64741389,Checking,32526.06,2020-12-28,,847.69
346711,27844542,97544214,Checking,4448.87,2023-03-19,,709.99
675230,86614940,60581823,Checking,31006.47,2023-11-26,,253.67
609725,89891086,65785496,Loan,37861.26,2022-12-16,,458.69
913912,15364329,40716801,Savings,80893.66,2021-04-21,,240.18
90905,45564406,84037897,Credit Card,96209.68,2021-05-03,2024-04-07,533.08
286332,71664688,67777959,Savings,13094.27,2021-09-17,,437.3
329290,16020215,84037897,Checking,43722.08,2020-09-03,,392.51
194155,36537003,42672546,Checking,89745.9,2020-04-08,,52.08
25322,93357610,29369239,Checking,80498.91,2022-09-18,,853.9
580302,30536623,72565719,Loan,85272.56,2020-08-08,,871.68
819145,74206685,51710843,Loan,84989.59,2019-08-17,,657.24
513533,16978870,39697743,Credit Card,50091.45,2019-11-17,,721.88
577486,39250047,21077921,Checking,53451.64,2023-05-09,,830.09
554080,22940057,41046679,Credit Card,16056.23,2019-12-14,,441.7
970003,33847080,86893602,Checking,65055.67,2019-09-05,,526.45
117608,28325059,74290792,Credit Card,5046.6,2023-10-21,,638.8
450209,90420352,42672546,Credit Card,6229.55,2021-06-08,,230.99
62284,32693843,65785496,Savings,42273.14,2022-04-08,,977.68
112986,35433010,42672546,Savings,10375.43,2019-10-24,,35.84
35803,33784871,19918798,Credit Card,51352.75,2023-01-11,,373.71
569781,66357215,84037897,Checking,18898.81,2020-09-20,2021-02-24,752.06
485738,52274058,22135191,Loan,63546.64,2022-08-18,2023-11-22,855.47
240368,83954941,69598209,Credit Card,14250.24,2022-08-07,,764.2
699770,98947173,80287087,Loan,89607.05,2020-02-24,,609.07
889439,90285359,41046679,Credit Card,81375.55,2020-09-26,,942.57
41518,82141521,12549576,Checking,69389.26,2021-12-08,2024-01-23,449.12
287780,97286043,81972872,Loan,5213.11,2022-04-04,,307.59
709161,35798281,60581823,Loan,3729.85,2023-12-09,,71.72
930112,13586225,92114008,Credit Card,49599.71,2019-05-23,,416.05
560565,84657479,76033207,Credit Card,59950.28,2019-09-05,2019-10-17,504.28
605729,78498253,50736126,Loan,77423.81,2023-07-03,,453.19
778195,50580403,81352293,Checking,98546.21,2021-05-12,,989.73
119915,69998449,86893602,Savings,19844.74,2023-03-12,2023-08-20,946.27
11238,12510671,22135191,Savings,51498.82,2020-11-10,,614.21
377442,44224889,58525202,Checking,58199.95,2023-02-08,2023-08-19,132.49
528373,27501768,51710843,Checking,63399.15,2020-01-06,,163.66
804923,41062829,12409716,Loan,63380.69,2022-04-10,,246.59
466139,30530827,46264809,Checking,94646.44,2021-10-08,,420.21
313208,73153524,80257887,Credit Card,78246.07,2023-12-05,,181.56
230717,90822391,90079264,Credit Card,33060.02,2021-02-26,2023-08-25,46.97
547780,36372280,79497184,Savings,17929.23,2023-01-04,,63.62
878809,84914980,64452737,Loan,29365.12,2023-09-10,2023-09-18,521.05
952880,69703135,22459364,Checking,70037.84,2023-07-09,,147.94
700589,50908623,12322955,Checking,89578.81,2021-06-16,,426.76
211711,93851299,80287087,Checking,73641.78,2022-04-27,2022-12-02,570.44
96678,88501491,22459364,Checking,68596.07,2020-08-03,,348.68
978473,99502715,64741389,Savings,78543.09,2021-07-17,,657.2
200307,62694209,25223326,Savings,61343.94,2023-12-16,,11.75
314641,80058178,16698795,Savings,10533.76,2022-12-26,2024-03-18,979.23
567588,86383989,56863141,Credit Card,98869.37,2022-11-30,,721.66
746890,94590708,21813819,Credit Card,83646.12,2020-08-22,,372.4
961733,78152837,76033207,Checking,3367.27,2021-06-07,,905.49
303884,11368372,12409716,Checking,81915.65,2024-04-07,,754.89
496302,33118667,84037897,Checking,83318.81,2021-05-13,,87.19
187769,75863013,12907760,Credit Card,75759.48,2022-02-14,2023-06-25,844.67
377474,18707120,65785496,Savings,77544.38,2021-05-12,,822.44
26184,62766324,84037897,Credit Card,22196.75,2020-03-23,,812.62
155059,90095136,87451692,Credit Card,47730.84,2020-09-14,2023-03-26,187.47
922553,13268360,87451692,Checking,30276.53,2022-06-08,,460.58
164727,61348523,81972872,Credit Card,91648.75,2023-09-27,,536.26
247327,33360480,12409716,Loan,95988.17,2023-02-15,,956.73
386934,96801474,41046679,Credit Card,67145.09,2021-02-25,,20.07
43319,79801399,84037897,Credit Card,44229.02,2021-03-01,,648.67
968351,29944008,74290792,Loan,88603.2,2021-11-10,,342.51
484336,38532286,40716801,Savings,34043.83,2021-11-10,,394.52
259860,27210376,93574729,Credit Card,71855.29,2021-02-25,,813.76
707439,44014696,51710843,Checking,30399.44,2023-07-24,,879.44
42127,93168192,22135191,Credit Card,72516.93,2022-06-27,,605.02
701447,83120911,21077921,Credit Card,33544.88,2021-05-17,2023-11-19,322.55
708818,42269438,65785496,Credit Card,91517.78,2021-09-24,,754.24
847058,11252162,22459364,Loan,98849.09,2021-04-20,,404.02
579782,43109202,92707769,Checking,35222.1,2021-12-01,,400.67
476443,46297529,59181519,Checking,86848.03,2020-04-14,,24.01
937350,31472992,81972872,Savings,28478.47,2023-03-04,,976.47
102985,49807885,56863141,Loan,99377.71,2021-09-11,,3.93
855502,90226117,51710843,Savings,15040.82,2024-04-15,,800.2
397889,93817461,72565719,Loan,58933.26,2021-05-13,,597.43
422809,75825060,13871080,Savings,67456.7,2020-12-15,,977.24
872488,33650021,64452737,Credit Card,54749.87,2019-12-20,,679.74
314952,68249453,37753542,Credit Card,46328.73,2020-12-06,,598.91
858661,85176142,32264006,Checking,32370.82,2023-03-29,,224.33
805924,75999651,56863141,Checking,55500.15,2022-10-29,,708.88
972452,20978030,22632821,Checking,59405.02,2023-02-02,2024-03-01,975.6
917493,16072431,12322955,Savings,47530.4,2022-09-19,2023-07-28,100.88
906287,82928886,69598209,Loan,58692.39,2020-12-16,,578.78
185848,89991316,74290792,Savings,96281.84,2023-10-26,,756.33
546904,70663914,77441705,Credit Card,94318.32,2019-04-30,,613.31
767953,78046275,27727923,Credit Card,23724.46,2023-06-09,,373.84
325799,13003753,59181519,Loan,66746.09,2023-07-18,2023-09-05,983.91
272102,43337024,12907760,Checking,215.64,2022-04-26,,492.35
564036,47340010,50736126,Checking,63712.94,2020-10-24,,757.25
50626,17402630,21813819,Loan,26444.2,2021-10-18,,973.58
764856,31946437,74290792,Savings,77851.18,2022-06-27,2023-07-18,722.99
272364,34089747,11569464,Loan,48851.43,2019-07-31,,61.1
744226,52838525,12907760,Savings,49959.37,2022-12-22,,625.12
774386,61737325,58525202,Credit Card,94541.32,2021-07-28,,820.69
276376,49060684,22632821,Loan,98789.7,2022-05-06,,568.23
207240,15300866,80257887,Credit Card,20903.64,2022-08-27,,966.13
442224,16750526,92707769,Checking,4410.08,2020-02-28,,732.43
361207,15048504,90079264,Savings,42812.42,2020-05-06,2022-02-21,964.4
639938,75899141,16698795,Credit Card,3950.65,2021-03-24,,501.93
694549,99582795,67777959,Savings,28578.81,2022-08-14,,705.68
33515,81479681,20758115,Loan,79537.01,2023-08-31,,38.2
528419,39026947,80257887,Checking,89888.42,2021-07-27,,458.21
443844,93313122,80257887,Savings,66694.23,2019-07-09,,980.89
578118,38297755,39697743,Checking,23424.7,2022-10-09,,838.4
716925,19501042,97544214,Loan,77376.4,2019-05-18,2021-07-21,806.28
339233,37614521,92114008,Credit Card,97252.38,2021-06-24,,615.7
177713,94367181,76461901,Credit Card,93258.15,2021-08-06,,505.67
228784,43525335,93574729,Credit Card,86550.87,2019-10-07,,515.29
505267,37134384,12180519,Checking,65209.02,2021-04-23,,844.34
718634,45008517,63064216,Loan,1662.26,2022-10-31,,249.58
530931,90853502,65785496,Checking,93173.23,2020-09-05,,574.78
356374,64316189,39697743,Checking,46758.31,2019-06-05,,233.23
394283,90231177,76461901,Savings,75438.44,2023-03-31,,912.63
100878,26063089,80257887,Credit Card,40180.18,2020-12-01,2021-01-16,937.26
330350,53878823,11569464,Loan,88522.47,2020-04-18,,511.17
451881,16949481,25223326,Savings,9610.68,2021-07-21,,98.17
250506,82720911,92114008,Loan,98112.78,2022-01-15,2023-09-14,630.03
471534,47591915,37753542,Savings,53430.34,2022-11-05,,690.27
137234,83058608,39697743,Savings,76665.45,2019-09-16,,640.4
370380,54738973,90079264,Savings,68975.14,2019-05-11,,401.87
226773,34451188,56863141,Savings,90684.03,2022-01-07,,167.46
36673,31165864,87451692,Savings,90204.81,2020-06-23,,934.7
233153,26509545,46264809,Loan,67234.16,2020-08-09,,451.52
755594,24790183,21077921,Checking,34390.97,2022-02-11,,761.6
150514,22610851,69598209,Savings,25419.15,2023-11-08,,204.49
672220,52522196,77441705,Loan,73796.27,2019-11-06,,355.2
415875,99065781,19918798,Loan,31726.5,2022-06-03,,245.37
51638,68106869,51710843,Savings,73079.18,2019-08-18,,33.05
188320,49053191,46264809,Loan,98287.85,2020-09-03,,658.03
312845,44846329,14589305,Loan,47906.99,2020-09-22,,314.02
72011,64748419,92114008,Checking,64860.7,2022-07-26,,353.86
295854,67865952,58525202,Savings,69771.93,2019-07-03,,339.13
640892,64189440,80287087,Checking,10691.97,2021-11-10,,310.34
791435,22984976,56863141,Loan,74158.61,2022-07-25,,651.85
226589,15788402,69598209,Credit Card,56245.18,2023-07-16,,654.04
442602,81888053,12409716,Checking,63491.88,2020-06-23,2021-06-23,987.54
502437,45012786,19918798,Checking,95302.49,2021-09-17,,421.77
957172,39551369,93574729,Savings,37003.65,2019-09-03,,856.3
794115,31414125,50736126,Checking,18259.93,2023-05-21,2023-09-06,203.23
988818,96440915,25223326,Loan,32309.12,2021-07-13,,781.33
206007,50396615,77441705,Loan,90599.15,2021-12-03,,368.98
986294,39063829,81972872,Checking,48004.28,2023-03-17,,136.46
239320,17627083,27727923,Checking,18475.65,2021-12-21,,207.01
520234,45327117,20758115,Checking,68232.22,2021-02-26,,751.24
890332,25211555,14589305,Savings,43395.78,2022-01-10,,632.73
597167,47093698,13871080,Credit Card,80336.41,2019-06-19,,557.84
694681,84692866,81352293,Checking,95799.73,2023-09-10,,145.6
402307,31427159,80287087,Savings,48374.67,2022-02-09,,509.72
842192,70567435,19918798,Savings,25886.76,2023-12-24,,517.4
108643,12771031,80257887,Loan,27524.24,2021-05-16,,124.55
70326,19209078,27727923,Loan,5486.12,2024-04-15,2024-04-21,932.62
431450,76075497,81972872,Savings,68421.08,2022-04-14,,471.78
894968,32944108,74290792,Savings,64270.16,2021-02-11,,352.64
135170,99488943,65785496,Credit Card,68410.77,2021-07-19,,877.34
425827,50570807,20265646,Checking,76938.69,2020-07-23,,317.78
60899,71834169,19918798,Credit Card,1463.62,2023-03-15,,629.8
955962,65340206,22632821,Loan,29960.15,2021-12-23,,605.86
562105,55348725,19918798,Credit Card,54651.92,2019-12-26,,119.56
838417,51000044,90079264,Savings,92021.98,2023-06-29,,756.47
231051,60847877,12322955,Checking,65302.35,2024-03-05,,405.48
98345,74368627,37753542,Savings,33302.39,2022-07-23,,412.79
940725,92882038,97544214,Credit Card,25606.0,2021-05-25,,65.54
135536,16485543,11569464,Credit Card,32706.27,2022-01-07,,45.02
822737,74946200,56863141,Loan,77840.06,2020-06-07,,657.81
303202,66807475,13871080,Savings,15352.77,2022-08-03,2023-03-14,897.98
229841,75860005,25223326,Checking,91253.4,2022-05-25,,166.89
400627,46868758,14589305,Credit Card,87022.87,2024-04-02,2024-04-27,119.9
465209,15408242,11569464,Checking,37917.75,2022-05-02,,813.06
141987,90749445,17178471,Loan,14350.68,2021-11-15,,657.64
816638,26048440,40716801,Savings,50637.65,2020-10-27,2020-11-20,31.78
639875,94421844,41046679,Savings,31700.47,2022-05-23,2024-04-09,212.0
179871,22807836,63064216,Credit Card,32423.95,2022-04-07,,261.39
735238,99977330,77441705,Checking,14253.98,2019-06-05,,418.9
262403,80631116,12907760,Credit Card,99329.03,2021-02-06,,262.92
893254,48684869,56863141,Checking,20531.15,2023-07-25,,382.87
260459,78110714,12549576,Checking,60841.49,2020-01-20,2022-09-28,663.71
115493,65799015,60581823,Credit Card,17404.53,2021-02-06,,171.95
481720,32534474,20758115,Savings,103.9,2021-02-21,,312.55
218493,78238236,39697743,Checking,76814.07,2023-10-30,,226.15
843538,39618194,22632821,Loan,91819.27,2022-01-10,,965.69
592150,96347889,22459364,Credit Card,83392.1,2021-06-28,,640.96
111729,70695394,50736126,Credit Card,71058.79,2022-05-20,,919.93
847261,99217317,22632821,Credit Card,21110.99,2024-02-03,,93.22
164341,70246234,65785496,Credit Card,84717.86,2021-12-10,,997.23
830705,79089996,41087230,Loan,38744.18,2020-03-09,,629.99
852040,97540588,41046679,Checking,37196.58,2022-03-18,,236.97
491316,18966155,20758115,Checking,37967.88,2023-05-11,2023-10-27,327.46
761076,51552690,50736126,Savings,3293.0,2023-10-21,,176.75
157991,81984143,12409716,Loan,28892.57,2021-02-28,,506.5
782376,70683314,41046679,Credit Card,15727.9,2021-06-16,,143.56
666138,66147304,20265646,Loan,5745.46,2019-11-18,,755.34
127522,52549975,39697743,Savings,96078.43,2022-07-15,,777.05
280824,72794961,12322955,Savings,43577.76,2022-05-17,2022-09-26,598.16
302750,42636297,50736126,Loan,31465.46,2021-08-13,,939.55
332791,77786498,81972872,Credit Card,91694.61,2023-03-15,,865.09
899892,98329098,81972872,Checking,93947.54,2019-07-19,2022-05-16,119.32
817721,94030842,25223326,Savings,85342.5,2020-02-23,,101.76
231726,43033205,22459364,Credit Card,19035.47,2020-09-09,,705.11
500523,68490948,64741389,Savings,62193.47,2021-02-13,,866.5
374637,16730358,22135191,Savings,57120.76,2020-08-24,,596.66
194802,61480797,12180519,Checking,62260.39,2024-03-25,2024-04-05,636.96
805103,18804592,86893602,Savings,74880.9,2020-05-01,,815.68
234084,54090875,64452737,Loan,9200.47,2020-05-07,,360.72
533880,55297214,67777959,Credit Card,42893.17,2020-03-02,,884.97
746267,57249034,19918798,Checking,63467.32,2024-02-13,,331.64
418650,75774064,64452737,Checking,53005.25,2019-11-07,,968.12
128664,71417389,37753542,Savings,35969.96,2024-01-13,,227.72
553805,46972028,12549576,Credit Card,48467.45,2019-11-10,,565.25
150952,35722689,51710843,Credit Card,49175.03,2021-04-22,,539.81
747440,30506633,56863141,Checking,62244.66,2021-02-03,,96.86
206079,51154296,60581823,Savings,41716.92,2021-03-14,2022-03-15,11.23
61755,82097749,63064216,Checking,27748.72,2020-05-31,2023-03-20,468.67
576142,91010867,41046679,Credit Card,73598.61,2023-09-15,,254.18
6731,11686970,11569464,Checking,20789.69,2023-01-24,2023-08-30,333.74
296659,38096083,19918798,Loan,42489.29,2019-11-20,,217.03
580511,90894068,25223326,Savings,69425.09,2024-04-12,,23.63
49172,11167395,12907760,Checking,1652.28,2019-05-02,,901.01
273449,55242212,39697743,Checking,4373.26,2019-09-02,,950.89
32044,91348004,13871080,Checking,79707.07,2020-08-09,,341.6
623608,58526128,51710843,Loan,87546.49,2022-09-17,,764.3
705595,62004138,12322955,Loan,4181.83,2019-10-20,2022-07-08,634.89
750251,92604165,22632821,Savings,77023.11,2023-07-21,,649.5
118451,52113480,21077921,Checking,69669.76,2020-08-07,,333.03
939005,94773573,69598209,Credit Card,36178.18,2020-03-16,2020-06-18,207.65
883787,74936175,69598209,Credit Card,62680.32,2022-05-22,,387.34
848190,85866073,79497184,Savings,76895.51,2022-04-17,,169.58
742413,87517974,97544214,Checking,18705.78,2023-02-12,,848.03
502423,51188533,80287087,Savings,1877.97,2019-07-30,,337.51
606487,79979395,58525202,Checking,52108.08,2023-02-18,,751.82
479349,31858721,46264809,Loan,27576.69,2024-01-10,2024-04-20,192.38
575867,30673384,81352293,Savings,14031.58,2021-03-09,,697.98
835643,26167333,64452737,Checking,60447.07,2023-09-18,,746.1
171176,79590093,59181519,Credit Card,80956.31,2022-07-30,,583.34
294374,79584038,16698795,Credit Card,16776.8,2019-05-15,,233.0
708264,32234093,64452737,Credit Card,56301.02,2024-04-22,,847.5
441157,18577833,87451692,Credit Card,49681.1,2021-10-30,2024-01-26,562.32
692656,83219367,21813819,Loan,65183.24,2019-07-06,2019-08-06,195.7
208922,64042639,60581823,Loan,19983.53,2020-01-11,,447.63
429831,68929472,56863141,Checking,66925.56,2022-02-22,2022-04-14,589.31
742894,98024720,22459364,Checking,91917.05,2023-10-21,,928.6
147557,56196166,60581823,Credit Card,27661.48,2020-04-02,,947.06
532597,50194602,16698795,Savings,97654.17,2019-05-21,,524.24
613256,27935273,92707769,Checking,55190.16,2020-05-05,,678.62
714381,82875869,19918798,Loan,55636.22,2023-09-18,,587.48
709344,54187238,58525202,Loan,89447.58,2022-11-28,,281.87
369228,36899719,77441705,Checking,95241.11,2021-01-22,,715.16
237887,91598006,65785496,Checking,20511.33,2022-11-25,,213.42
953183,72583483,79497184,Savings,50077.25,2022-02-03,,430.1
784482,93575414,41087230,Credit Card,80402.3,2020-10-25,,825.99
779046,30087991,65785496,Checking,51158.43,2019-07-04,,582.68
333315,86294284,80287087,Checking,55140.21,2024-04-22,,930.71
450168,97409617,25223326,Savings,70250.82,2021-03-16,,973.02
766100,88784420,22632821,Loan,65368.61,2020-03-21,,310.73
980762,43821230,32264006,Credit Card,80008.39,2024-02-07,,846.5
432726,59641663,12322955,Loan,92210.51,2020-05-16,,500.69
322986,92689487,72565719,Checking,71635.26,2022-09-09,,42.73
498498,86756828,37753542,Savings,11448.44,2020-11-22,,738.77
322657,26546863,56863141,Credit Card,41459.7,2021-07-03,2022-03-12,739.08
459038,26995020,11569464,Checking,70712.57,2022-06-20,,286.09
497862,17805770,40716801,Checking,12948.58,2023-09-05,,626.95
647623,62620404,22135191,Checking,74424.9,2020-03-31,,42.0
186028,30604484,21813819,Credit Card,32163.09,2020-06-15,,709.42
282707,31172758,74290792,Checking,67799.46,2024-02-15,,338.97
932734,28448473,93574729,Credit Card,91933.48,2024-01-30,,372.84
69545,78509637,22135191,Credit Card,40747.15,2022-03-26,,646.97
799178,10404218,37753542,Savings,21735.78,2020-11-01,2022-05-19,432.09
538906,73974171,41087230,Loan,56930.78,2019-05-08,2024-03-15,926.16
816198,53990994,27727923,Savings,75878.8,2019-05-12,,886.83
126922,65279517,51710843,Loan,33987.31,2023-09-14,,208.79
62368,93165293,20265646,Loan,88645.69,2023-04-18,,924.49
513548,75443924,29369239,Checking,86404.01,2021-07-04,,225.6
741247,25544856,32264006,Credit Card,65953.68,2020-02-19,2024-04-21,860.74
354786,65573001,32264006,Checking,76441.1,2023-01-24,,712.4
4058,27274138,19918798,Savings,39287.18,2022-04-21,,384.3
970498,40123007,55798973,Checking,12274.97,2019-07-27,,762.26
892411,92049567,84037897,Checking,1130.3,2020-03-12,,276.1
640671,97234940,25223326,Checking,85731.2,2020-06-23,,178.89
997846,85307807,76461901,Loan,52743.92,2022-05-05,,608.3
540996,68831899,12180519,Checking,72688.12,2021-04-18,,221.34
22421,52268709,22632821,Checking,11398.52,2023-10-22,2023-11-18,776.48
211720,35806017,56863141,Checking,63628.55,2022-06-20,,189.05
863046,91183285,87451692,Savings,89298.55,2023-07-05,,800.7
783858,94178357,20758115,Savings,46814.47,2021-05-16,2023-04-12,303.71
437459,92259283,12549576,Checking,91395.36,2019-08-14,2023-12-09,869.29
976415,12567394,59181519,Checking,92004.19,2019-12-14,2021-06-10,486.53
523877,18262513,65785496,Credit Card,53145.7,2023-05-18,,801.69
382341,19982594,39697743,Checking,96456.87,2021-12-24,,591.5
986250,34800141,12180519,Loan,38183.83,2021-06-08,2023-11-21,987.97
98537,50763349,80257887,Credit Card,82940.4,2022-07-25,,864.34
362741,62326340,59181519,Checking,14048.75,2021-07-30,,123.94
964197,86473309,79497184,Loan,65760.1,2021-03-25,,402.26
278692,41899129,67777959,Credit Card,49308.61,2023-12-26,2024-04-07,33.37
804257,10243963,92707769,Loan,35931.71,2022-05-08,,690.92
154427,50399456,76461901,Credit Card,41693.55,2021-05-22,,511.1
649642,53414203,21077921,Checking,14278.65,2021-11-09,,445.61
733257,16187857,40716801,Loan,42154.31,2022-02-21,,281.12
748944,54685698,25223326,Savings,20325.92,2023-12-04,,180.56
299868,64648400,42672546,Loan,13973.65,2023-10-14,,67.52
395499,47060711,14589305,Checking,7726.59,2023-07-27,,865.35
645077,74593615,80287087,Credit Card,28353.24,2021-01-31,,543.81
435533,80416644,64452737,Credit Card,86950.38,2023-01-18,,851.84
392947,17485971,12907760,Savings,91732.82,2020-08-13,2021-03-02,858.17
512001,89397522,65785496,Loan,20762.29,2023-06-09,,730.91
93976,29211169,21813819,Checking,59242.41,2021-07-11,,144.36
51530,89749291,64741389,Loan,97364.33,2021-10-27,,342.74
160413,64426967,69598209,Credit Card,44038.64,2024-03-16,,663.9
376008,88627440,41087230,Savings,78266.92,2023-11-14,,283.08
239927,14873225,42672546,Checking,30694.1,2019-05-29,,7.26
545972,70812655,84037897,Checking,99249.07,2021-08-24,,599.91
773838,36231541,56863141,Checking,40911.91,2024-03-28,,237.86
